id,year,month,day,tmin,tmax,mean_cloud,wind,prcp,wet_day
309,6485,6,26,8.21412,15.599,0.244749,2.44237,0,0
309,6485,6,27,5.21066,13.4231,0.386057,2.17749,0,0
309,6485,6,28,7.30983,14.9462,0.752197,1.92148,0.0172148,1
309,6485,6,29,4.96093,9.81559,0.838828,3.47986,2.12926,1
309,6485,6,30,8.72376,16.2691,0.934629,2.98073,1.66786,1
309,6485,7,1,8.80565,16.6737,0.703676,1.07831,1.3901,1
309,6485,7,2,8.61587,12.7045,0.846773,3.27769,2.77202,1
309,6485,7,3,7.12158,9.87117,0.559939,4.51555,0,0
309,6485,7,4,9.60962,20.2295,0.127256,6.24081,0,0
309,6485,7,5,5.83739,7.41032,0.732585,4.1783,0.404837,1
309,6485,7,6,8.02129,15.3337,0.586515,5.46095,0,0
309,6485,7,7,8.76742,12.7689,0.597349,2.56527,0,0
309,6485,7,8,6.84872,13.4225,0.675823,1.1238,0,0
309,6485,7,9,6.76919,17.1123,0.502836,2.77338,0,0
309,6485,7,10,5.55014,13.7813,0.504744,2.47628,1.07128,1
309,6485,7,11,8.37759,12.9269,0.465292,4.22115,0,0
309,6485,7,12,8.90375,14.8897,0.927859,3.67418,6.61887,1
309,6485,7,13,7.29344,13.7758,0.861496,2.19757,2.48664,1
309,6485,7,14,9.03453,14.8169,0.898228,4.09988,9.42898,1
309,6485,7,15,8.66271,17.8224,0.86696,6.59803,3.87256,1
309,6485,7,16,5.6858,19.0926,0.533071,4.14244,0,0
309,6485,7,17,7.8862,12.8392,0.587143,6.52224,0,0
309,6485,7,18,7.95721,16.2321,0.890876,3.23515,1.92039,1
309,6485,7,19,6.89673,16.8675,0.878831,3.66539,0.871972,1
309,6485,7,20,6.29749,16.7352,0.693585,3.92815,0,0
309,6485,7,21,9.2185,14.0425,0.849893,4.37511,5.43045,1
309,6485,7,22,5.26467,9.96587,0.511917,3.17988,0,0
309,6485,7,23,7.5175,20.7343,0.688034,3.29711,0,0
309,6485,7,24,7.18469,16.7764,0.804502,2.7898,5.11896,1
309,6485,7,25,4.87965,14.8318,0.435672,2.09765,0,0
309,6485,7,26,7.30611,16.5647,0.880499,3.18398,1.46308,1
309,6485,7,27,7.93126,16.9893,0.584319,2.18735,0,0
309,6485,7,28,7.85269,14.1967,0.919184,4.3628,0.867349,1
309,6485,7,29,9.36783,16.2377,0.860527,1.72891,5.18686,1
309,6485,7,30,6.88115,12.8003,0.86483,1.73103,2.54047,1
309,6485,7,31,10.0018,11.9747,1,2.49001,0.678802,1
309,6485,8,1,9.26121,13.198,0.85706,0.976537,0.0334551,1
309,6485,8,2,6.44992,24.0248,0.732714,0,0,0
309,6485,8,3,7.09515,18.1543,0.840625,0.901986,0.498592,1
309,6485,8,4,9.55451,21.1694,0.972044,0.353485,4.84081,1
309,6485,8,5,8.63895,17.7278,0.89452,0.633042,1.04572,1
309,6485,8,6,7.55621,10.783,0.893147,1.10895,4.41445,1
309,6485,8,7,6.5372,17.6133,0.899036,0.279416,2.60136,1
309,6485,8,8,5.54326,14.4636,0.844059,0.852073,3.60676,1
309,6485,8,9,4.00556,18.6361,0.496668,0,0,0
309,6485,8,10,7.73242,14.681,0.991191,0.274071,0.50398,1
309,6485,8,11,4.89913,13.6157,0.274152,0.272126,0,0
309,6485,8,12,5.59596,15.3875,0.886515,0,0,0
309,6485,8,13,6.26869,17.9674,0.930925,0,4.27062,1
309,6485,8,14,5.14671,15.2767,0.904512,0,7.6643,1
309,6485,8,15,8.29581,21.7744,0.944099,0,3.38579,1
309,6485,8,16,4.77714,11.5073,0.93997,0,0.825372,1
309,6485,8,17,7.38813,8.76995,0.931751,0,0.0696545,1
309,6485,8,18,4.87948,5.89281,0.998675,0,0.0506655,1
309,6485,8,19,5.5087,10.6222,0.93207,0,0.480489,1
309,6485,8,20,5.67723,13.8077,0.94796,0,0.171165,1
309,6485,8,21,4.3328,12.8503,0.971447,0,0,0
309,6485,8,22,6.34784,13.9944,0.853555,0,0,0
309,6485,8,23,4.00426,16.9487,0.408104,0,0,0
309,6485,8,24,1.96092,14.0098,0.877385,0,0,0
309,6485,8,25,6.97895,25.4847,0.82616,0,0,0
309,6485,8,26,4.43634,16.5797,0.833199,0,0,0
309,6485,8,27,6.7335,12.6116,0.959391,0,0.706283,1
309,6485,8,28,5.00272,13.8897,0.975699,0,2.0756,1
309,6485,8,29,2.82239,12.5077,0.930918,0,3.39929,1
309,6485,8,30,4.62862,10.5543,0.94605,0,9.10046,1
309,6485,8,31,4.07777,6.54041,1,0,0.031197,1
309,6485,9,1,2.70566,12.8323,0.803708,0,0,0
309,6485,9,2,6.38598,10.7772,0.982118,0,0.148907,1
309,6485,9,3,5.00032,11.3896,0.946381,0,1.63121,1
309,6485,9,4,3.31386,9.60864,0.949056,0,0,0
309,6485,9,5,3.41263,12.257,0.968822,0,3.75449,1
309,6485,9,6,2.1337,10.162,0.960013,0,0.374201,1
309,6485,9,7,6.19572,11.335,1,0,0.839862,1
309,6485,9,8,2.97473,13.8068,0.974502,0,12.6696,1
309,6485,9,9,3.63625,7.92036,0.93937,0,7.59201,1
309,6485,9,10,1.5136,3.4147,0.89866,0,0,0
309,6485,9,11,2.50006,13.1355,0.961962,0,0.273269,1
309,6485,9,12,2.59792,4.794,0.970959,0,1.14246,1
309,6485,9,13,0.909151,4.83854,0.949421,0,1.74285,1
309,6485,9,14,2.85761,8.54243,0.952301,0,12.1152,1
309,6485,9,15,4.40855,7.37112,0.976581,0,2.83426,1
309,6485,9,16,2.04587,15.9439,0.974061,0,6.00833,1
309,6485,9,17,3.94253,4.93379,0.948364,0,0.0353794,1
309,6485,9,18,-0.443183,10.4077,0.837716,0,0,0
309,6485,9,19,-1.46032,13.3775,0.950658,0,0,0
309,6485,9,20,3.45576,5.39168,0.988673,0,1.87771,1
309,6485,9,21,2.0803,11.6209,0.974519,0,2.98632,1
309,6485,9,22,-0.12069,5.9914,0.940205,0,7.32905,1
309,6485,9,23,-0.542836,4.8881,0.788882,0,0,0
309,6485,9,24,1.74059,11.8245,0.99144,0,1.88059,1
309,6485,9,25,0.0843533,2.98748,0.949436,0,0.106444,1
309,6485,9,26,-1.04642,4.42892,0.948729,0.0520521,0.54825,1
309,6485,9,27,0.53486,4.21045,0.959558,0.114369,2.78213,1
309,6485,9,28,-0.354062,-0.0900779,0.965217,0,1.01297,1
309,6485,9,29,-1.51197,8.79025,0.830377,0,0,0
309,6485,9,30,-0.960065,5.77131,0.526199,0,0,0
309,6485,10,1,-1.78877,3.3505,0.431049,0.285478,0,0
309,6485,10,2,3.42321,7.11933,0.878447,0.395282,0.403754,1
309,6485,10,3,2.30653,10.0328,0.975245,0.840518,0.0706901,1
309,6485,10,4,0.0750423,11.701,0.655699,0.500017,0,0
309,6485,10,5,0.11178,7.7428,0.796079,0,0,0
309,6485,10,6,-0.15018,7.5728,0.966289,0,4.25157,1
309,6485,10,7,0.797459,9.5764,0.777413,0.43121,0,0
309,6485,10,8,0.92861,8.81592,0.804977,0,1.82857,1
309,6485,10,9,0.375325,5.73977,0.873702,0.938555,0,0
309,6485,10,10,-1.61394,3.53746,0.852593,0.987173,2.18393,1
309,6485,10,11,1.26455,7.30644,0.980354,0.724394,4.9281,1
309,6485,10,12,-1.7893,2.83946,0.76934,1.39586,1.68564,1
309,6485,10,13,-1.90354,12.0947,0.884447,0,3.79878,1
309,6485,10,14,-2.57126,0.578861,0.1958,1.48247,0,0
309,6485,10,15,-0.775557,4.14429,0.879273,0,5.25091,1
309,6485,10,16,-1.3424,0.726511,0.819472,0.535976,4.97541,1
309,6485,10,17,0.636531,1.21844,0.79066,2.2912,0.884298,1
309,6485,10,18,-3.19596,1.38646,0.714257,1.54796,0,0
309,6485,10,19,-1.03891,-1.03295,0.840183,3.71914,4.52665,1
309,6485,10,20,-2.82575,2.46685,0.834224,1.03395,2.02924,1
309,6485,10,21,-4.49544,1.67376,0.594338,1.34331,0,0
309,6485,10,22,-2.32793,-0.542095,0.863972,0.25179,1.52967,1
309,6485,10,23,-0.384374,-0.184075,0.854038,2.2416,1.61597,1
309,6485,10,24,-1.48411,0.920629,0.884062,0,0.0330034,1
309,6485,10,25,-2.03122,4.63385,0.769657,1.21417,4.35372,1
309,6485,10,26,-1.90319,3.97546,0.645924,0,0,0
309,6485,10,27,-2.50842,-0.82914,0.86841,0,29.435,1
309,6485,10,28,1.11658,4.29166,0.837081,2.36937,0.00949335,1
309,6485,10,29,-6.68469,1.01634,0.65766,1.07757,0,0
309,6485,10,30,-4.00543,2.11793,0.856487,0.798595,0.570168,1
309,6485,10,31,-4.33619,1.1678,0.881999,0,0.444398,1
309,6485,11,1,-1.72099,3.87625,0.959449,0.966631,8.95236,1
309,6485,11,2,-1.83273,-0.437631,0.980489,0.0416529,2.6399,1
309,6485,11,3,-2.35901,3.5357,0.909681,0,0,0
309,6485,11,4,-1.14293,3.98732,0.995438,0.510648,2.17644,1
309,6485,11,5,-5.16434,6.19068,0.978483,0.309793,0,0
309,6485,11,6,-2.58972,1.29205,0.829572,0,0,0
309,6485,11,7,-6.65248,-4.89412,0.963546,0,2.01802,1
309,6485,11,8,-2.07443,7.22424,0.983028,0.402818,1.81895,1
309,6485,11,9,-3.03513,-0.391935,0.991951,0,0,0
309,6485,11,10,-4.12705,-1.30543,0.960485,0.37369,13.7181,1
309,6485,11,11,-6.76858,0.268993,0.986921,0.126736,1.56769,1
309,6485,11,12,-7.18716,0.233953,0.998819,0.182817,0,0
309,6485,11,13,-4.87493,0.577548,1,0.891236,0.341446,1
309,6485,11,14,-1.61357,0.487588,0.855674,0,0,0
309,6485,11,15,-5.33505,0.786932,1,0,0,0
309,6485,11,16,-3.77394,-0.669291,1,0,0.168556,1
309,6485,11,17,-1.96259,1.25317,1,0,0.269315,1
309,6485,11,18,-4.75474,2.49862,1,0.291605,2.46663,1
309,6485,11,19,-4.05622,-3.56425,0.999452,0,0.488297,1
309,6485,11,20,-5.26679,-2.48463,0.99374,0,5.14678,1
309,6485,11,21,-4.21603,6.5409,0.98179,0.0521887,0,0
309,6485,11,22,-5.9797,-2.20364,1,0.350937,0,0
309,6485,11,23,-5.12297,-2.41187,0.986662,0,7.09934,1
309,6485,11,24,-6.3221,3.76416,1,0.543994,4.34628,1
309,6485,11,25,-4.65994,1.9506,0.974712,0,7.82712,1
309,6485,11,26,-6.41908,-5.81987,1,0,0,0
309,6485,11,27,-4.7251,3.47279,0.798912,0.395507,0,0
309,6485,11,28,-5.77677,-3.83801,0.968531,0,53.8646,1
309,6485,11,29,-6.67646,5.21211,0.936024,0,2.99139,1
309,6485,11,30,-3.24484,0.991786,0.936319,0.445195,4.56576,1
309,6485,12,1,-9.04524,1.00233,0.926179,0.202656,0.565342,1
309,6485,12,2,-6.99027,0.862877,0.98878,0.247201,16.5568,1
309,6485,12,3,-9.86363,1.80278,1,0.144304,0,0
309,6485,12,4,-4.94739,-1.87794,1,0.0379172,4.17177,1
309,6485,12,5,-5.63995,0.787173,0.774976,0.023224,0,0
309,6485,12,6,-4.43784,0.598474,0.900172,0,1.10639,1
309,6485,12,7,-8.39562,1.49048,0.960326,0,0,0
309,6485,12,8,-7.46388,-4.68305,0.966317,0,7.02353,1
309,6485,12,9,-9.36391,-5.1438,1,0,0,0
309,6485,12,10,-7.11385,1.90628,0.975965,0,2.39313,1
309,6485,12,11,-7.96012,-0.43701,1,0,0.709644,1
309,6485,12,12,-9.27339,0.566111,0.632,0,0,0
309,6485,12,13,-5.76983,2.34924,0.93662,0,4.14795,1
309,6485,12,14,-10.6824,3.14205,0.642217,0,0,0
309,6485,12,15,-8.23552,-1.10611,0.939814,0,12.5409,1
309,6485,12,16,-4.6082,3.6669,0.93268,0,1.34551,1
309,6485,12,17,-4.42212,2.67055,0.638887,0,0,0
309,6485,12,18,-12.598,-1.46719,0.803826,0,0,0
309,6485,12,19,-6.98249,-3.14213,0.929595,0,2.0166,1
309,6485,12,20,-7.30922,2.39855,1,0.0351743,2.52068,1
309,6485,12,21,-6.69886,-1.68918,0.986162,0.188824,2.88635,1
309,6485,12,22,-9.37258,-0.758412,0.752735,0.0144008,0.184846,1
309,6485,12,23,-7.87665,1.84383,0.876239,0,2.96474,1
309,6485,12,24,-9.5236,-0.516393,0.890435,0.516066,0.481401,1
309,6485,12,25,-5.64061,-1.26459,0.90605,0.365841,0,0
